run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction,gamma_inv_scale,gamma_vol_scale
caad7a7d,-0.4424004491047526,-0.1640839374797667,-0.014309733349719458,0.11210159500728988,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,6,1.0,1.0,1,0
dfb1557e,-0.3944335623746156,-0.15897615760843686,-0.013133113717035343,0.10972823342896922,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,6,1.0,1.0,2,0
0a3cac52,-0.06824601387415896,-0.08115361503022128,-0.008312886804545925,0.05362763485292417,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,6,2.0,0.2,1,0
5877f625,-0.22977037551027024,-0.08572777349459915,-0.006769331514190161,0.06503917177366585,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,4,2.0,1.0,1,1
b47b2893,-0.2115687057357718,-0.0677482865034328,-0.0056194784638533895,0.05507468800891719,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,4,2.0,0.2,2,0
49e0a564,-0.36209181440972316,-0.1941416610084527,-0.01832014821485834,0.15089199967612119,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,4,1.0,0.2,2,0
aa689fdf,-0.4944426017354999,-0.17387959550643467,-0.01396799607130034,0.10492452951222941,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,8,1.0,1.0,4,1
6385205d,-0.712925378986256,-0.2821002407295955,-0.18577897721287365,0.1045895262520689,10,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,4,1.0,0.2,2,0
7522d5d2,-0.47768557390372735,-0.2099834043133633,-0.018638509241264204,0.16293346303115672,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,4,1.0,1.0,2,0
11eb386a,-0.26258842529750837,-0.05677910646602679,-0.005245756672403989,0.035112238537671044,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,6,2.0,0.2,2,1
5ee90644,-0.11673699121456593,-0.0970648311427576,-0.008767350975501806,0.05011276978952492,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,8,2.0,0.2,1,1
