run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
6bdeb00b,-1.7285416496852122,-1.8192444139975108,-0.04912330276874554,0.27704193187325504,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.4
3fe938b9,-1.4767303001954133,-1.6394087026206545,-0.04794952786806334,0.27989834484067927,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.6
462845f1,-3.6195086710631585,-3.6693727844439388,-0.11083487036539066,0.45199454209329737,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.3
3148ba26,-1.1081796027938253,-0.9332725621543914,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.2
805a3c8e,-3.4360902598164103,-3.5379381036546476,-0.09047680978022463,0.44082792405620363,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.4
c24703a3,-3.184581941950455,-3.365115890169465,-0.09460573889156836,0.5237230514026776,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.6
a8c0c0ae,-0.9867890116165654,-0.8370752685425404,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.2
c376f324,-3.615110399396144,-3.7285149783859795,-0.09527383821647338,0.5151376562281476,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.4
6564ca98,-3.4949516809319903,-3.619120743949848,-0.08710703969075095,0.5016742384600322,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.3
43ffb0c6,-3.5273080830738763,-3.663407276284693,-0.09561973748458731,0.5015826049484605,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.1,0.6
26939ec8,-1.108027769396358,-0.933143677312946,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.2
cd573278,-3.2486620540312288,-3.4995018046317536,-0.09766045184627534,0.5586763946525608,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.6
385d0124,-3.6069848148727033,-3.707812139205224,-0.10102658033881577,0.49912291971442463,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.3
ca55d62b,-3.5800994464716496,-3.669123700042545,-0.09699853702278104,0.47533640602683713,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.2,0.4
19153417,-3.664440578511858,-3.705913874556923,-0.10818953093954455,0.429246419332628,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.3
0ae9cb0c,-1.108027769396358,-0.933143677312946,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.2
fb6fbbf2,-3.540082224020807,-3.6306727074580034,-0.09772781958414131,0.4617670616754702,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.6
0947fc7d,-3.619591104259598,-3.690666034295748,-0.1317955769251545,0.49533030229817,1,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.05,0.4
5b667617,-3.494544035562285,-3.644777370496697,-0.09917680379671596,0.5318370349225137,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.3
1622456a,-3.353752455834183,-3.5040725359124436,-0.09992695075973605,0.5017549730710965,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.6
edcdfdfc,-1.108027769396358,-0.933143677312946,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.2
e7cb3fd6,-3.5854263976434595,-3.6172690750344505,-0.09144979574614509,0.39384454095698523,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.1,0.4
737dbc55,-1.107876003752608,-0.9330148494338567,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,3,0.05,0.2
c35d0f5e,-3.427001456817379,-3.5717604916069385,-0.09441362499369392,0.48656552191116875,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,2,0.2,0.4
